Keyword;sentence_id;sentence with keyword match;Labelling 
asistencia técnica;00a55af_79;- Facilitar asistencia tecnica a los pequeños propietarios de bosques y areas naturales privadas, para que elaboren planes de manejo sostenibles, para ser incorporados en los programas de incentivos nacionales y locales existentes;1
asistencia técnica;15169f7_74;Facilitar asistencia tecnica a los pequeños propietarios de bosques y areas naturales privadas, para que elaboren planes de manejo sostenibles, para ser incorporados en los programas de incentivos nacionales y locales existentes;1
asistencia técnica;3416cbf_67;Estimular a las comunidades a proporcionarles mantenimiento y limpieza a las barrancas, quebradas y zonas de los suburbios y caminos vecinales, dando al respecto la asistencia tecnica necesaria y acompañamiento en procesos participativos para tal fin;1
asistencia técnica;3c8c7a4_66;Para los efectos de implementacion de las normas tecnicas anteriores y otras que se estimen necesarias realizar, el Municipio solicitara la colaboracion y asistencia tecnica del Ministerio del Medio Ambiente y Recursos Naturales, de la Direccion General de CENDEPESCA del Ministerio de Agricultura y Ganaderia, de organismos internacionales especializados en el tema asi como de las entidades no gubernamentales que trabajen en esta materia;0
asistencia técnica;48bdadf_160;c) Gestionar asistencia tecnica en nuevas tecnologias para el municipio, de manera que promuevan la agricultura organica, conservacion de suelos y agua;0
asistencia técnica;48bdadf_162;d) Gestionar juntamente Gobierno Municipal y otras organizaciones Gubernamentales y no Gubernamentales, la asistencia tecnica permanente que permita la conservacion de las cuencas y ecosistema hidrico del municipio;0
asistencia técnica;499d53d_51;Brindar asistencia tecnica y legal, sobre el manejo integral del fuego a quien ejerza la tenencia de la tierra;1
asistencia técnica;66d8c54_80;Facilitar asistencia tecnica a los pequeños propietarios de bosques y areas naturales privadas, para que elaboren planes de manejo sostenibles, para ser incorporados en los programas de incentivos nacionales y locales existentes;1
asistencia técnica;6a85bfd_11;- Es competencia de la Alcaldia Municipal, fomentar e incentivar la plantacion, el manejo y conservacion de arboles que proporcionen sombra y un aspecto ornamental dentro del radio urbano, a traves de la Unidad Ambiental de la Alcaldia, en coordinacion co;0
asistencia técnica;7eab6c1_52;El Concejo Municipal debera fomentar las actuaciones por compensacion y cooperacion, debiendo proporcionar a los propietarios la asistencia tecnica que sea necesaria;1
